,ACH-000217,ACH-000221,ACH-000316,ACH-000361,ACH-000393,ACH-000420,ACH-000422,ACH-000471,ACH-000475,ACH-000476,ACH-000478,ACH-000480,ACH-000483,ACH-000493,ACH-000537,ACH-000577,ACH-000620,ACH-000671,ACH-000734,ACH-000739,ACH-000848,ACH-001318,ACH-001853,ACH-002523
DNAJC3,-0.0277634748027565,0.0846978825469585,0.0594723935293393,-0.0063144850762353,0.0097218994890004,-0.1530338551601133,-0.0262598513417654,-0.1280157643277867,-0.2281426588571073,0.0919413376423945,-0.2740571836855008,-0.0937638378144944,-0.2530064173842968,-0.0409146946414945,0.0184117637790965,-0.0698914907547965,0.0286160261065109,-0.0526137103029288,0.1393101223538717,-0.0200188916629747,0.0731742975349511,0.0613320515975839,0.0806641014904692,-0.1078340685072338
LYN,-0.0121104362196233,-0.0061344358709304,0.0693201022225897,0.0386204642778656,-0.0755318829907755,0.1584243754403789,0.18462677683103,0.1650339872197042,0.0639334082794908,0.0647332622969711,0.080415914845538,0.0349067138904491,0.0044729397961857,0.2452088877652795,0.050692548899349,0.2468972643125031,0.0899422570246907,0.2712970427973397,0.0556867908350716,0.0964428107308061,-0.0611357911375254,0.0788542201607642,0.2832250204603977,0.0938221098513356
WDR20,-0.1821169967237734,-0.0839316817540788,-0.116556849735191,0.0009708336475093,0.0332432855795141,0.0005017410131573,-0.0080125436153715,-0.161478101794934,-0.2357021763749362,-0.0988392769628936,-0.0833313317704215,-0.1049583390527073,-0.1806945619421941,-0.0453490800129678,-0.0735234606401635,0.0019334340986099,-0.2939469501027204,-0.1819912062160421,-0.2212842657627455,-0.434801151493666,-0.1037790277677956,-0.1525234721925142,-0.1924092364299938,-0.2156806241699047
CKAP5,-1.805443014580216,-2.196703077435285,-1.7241486451559898,-2.1672458304590494,-2.5483543829722777,-2.1538802252146545,-1.5601961448972648,-2.300489564005288,-3.283718738780657,-2.5347313136161054,-1.9662019206002643,-1.831563228981536,-2.08615463563792,-2.6948829253223447,-1.5234823460520002,-2.454123906795044,-2.764235163992636,-1.1576299511863402,-2.736484382424277,-1.8279420626685912,-2.379803935243058,-1.6499190316967036,-1.8397129875448943,-2.222026164833536
RAD1,-0.2029243642759913,-0.6221462678766827,-0.438968759331535,-0.4437592755498113,-0.5158942463131476,-0.1183741375757023,-0.5216706449705327,-0.5606762148475812,-0.7993567995678447,-0.0499122856654672,-0.5763567699365033,-0.8459662575762297,-0.4231010576373332,-0.3554604450944137,-0.1787629620345841,-0.692027835160975,-0.7585607292938388,-0.7415526761229584,-0.6219106586058192,-0.4374896185861802,-0.3862251130220775,-0.5338378448207108,-0.3260056134570496,-0.4943411751301677
PAPOLA,0.1543801839324819,-0.0732530614408256,-0.118914527262638,0.2161123003066081,-0.129271948523376,-0.4799798032735396,0.0272161691961462,-0.0359785443174966,-0.1757887871917509,0.1847340218050664,-0.297996442063108,0.0457606687548046,0.0496573407102307,0.1039389458274518,-0.0328285613903443,0.0958998225421821,-0.4200907169949123,-0.2029760786511252,-0.0745470336175614,-0.2779829083830891,0.0875064469725352,0.0303001937231359,-0.0455116341112539,-0.3639690261444026
SCAP,-0.0276229584641772,-2.2206984707137574,-1.742385897092622,-1.780305860129734,0.1546120659550273,-0.0376483923324022,-0.9396045077741402,-1.3737041074148506,-1.0451934612856593,-1.0147082150886384,-0.1112094489568212,-1.5231338164201764,-0.0007883437743327,-0.5338554164953923,-0.3196064313947958,-0.0561486073531625,-1.672169792261336,-0.1590210501702959,-1.00893856747316,-0.1288590983449191,0.0180314299185257,-0.7059925618990889,-0.4272023144401992,-0.7794393769177685
RNF11,-0.2640528160385536,-0.2017012955747103,-0.1801219859122033,-0.3336913281968556,-0.3523648791713833,-0.3108851914120675,-0.2200522228789929,-0.3346461333664943,-0.2767707694238549,-0.3906935359470311,-0.3498145532533004,-0.3112510513028158,-0.2126806009016715,-0.2632743613683104,-0.2480862415353723,-0.2203316140942369,-0.1159112227777384,-0.1761176645665391,-0.1780809665466616,-0.3164737094555489,-0.2897369785071944,-0.5072264818819388,-0.4665687624239487,-0.2306259162672184
STAG2,-0.634973527334577,0.0580561720312861,0.1209961985836817,0.3833654965434408,-0.172208976353833,-0.0799770765852545,-1.1634058578831457,-1.4410376680122388,-0.0757013182922462,0.0393253506730775,0.0288091380850759,-0.3953562144980939,-0.9227253221137952,-0.1877109501347459,-0.2002325608413773,-0.2195131672299083,-1.4434266519655332,-1.3056513092402078,-0.5615526319287256,-0.3676135318714131,-0.2538762282591134,-0.1527184600838587,0.1346984070084203,-0.4927423548375461
CPLX1,0.1424449846667237,0.0685385391713845,0.203575296134354,0.1512639404097909,0.1275073991120365,0.320952589984186,-0.0148631906769149,0.2998610141360493,0.0822672026133692,0.2131146648013322,0.0166233168778652,0.1867471329489803,0.2065914949980455,0.1744851715059417,0.2491460880308334,0.1284067314172261,0.1362507842454481,-0.0105286479927602,0.1658762645180845,0.0989812386604791,0.2607612493662077,0.2656756770750649,0.2103708915701588,0.0079972386685665
