,ACH-000078,ACH-000099,ACH-000120,ACH-000149,ACH-000227,ACH-000259,ACH-000260,ACH-000310,ACH-000312,ACH-000341,ACH-000366,ACH-000804,ACH-001188,ACH-001300,ACH-001301,ACH-001302,ACH-001303,ACH-001338,ACH-001344,ACH-001354,ACH-001366,ACH-001367,ACH-001481,ACH-001548,ACH-001603,ACH-001674,ACH-002080,ACH-002083,ACH-002217,ACH-002261,ACH-002278,ACH-002280,ACH-002282,ACH-002283,ACH-002284,ACH-002285,ACH-002922
PAXIP1,0.114951124872062,-0.5933776867962799,0.2292037018481473,-0.1631184194852307,0.2670227487846537,-0.4331749638422116,-0.5331642210322896,0.0188300482158512,0.0103275381318071,-0.0398042612643671,-0.140663593912568,-0.3495817905429906,0.0581827226261259,-0.2108078651368594,-0.2563193452025025,-0.3222656163092476,-0.2678905067147666,-0.481939330352612,0.3507811348192479,0.0974845941447151,0.2514766515862163,-0.1257047898647922,-0.1622669096384729,-0.5110272330452008,0.0963678744883117,-0.4226826611816338,0.0358057797724761,0.2393724787569713,-0.3049513599563165,-0.3399762329997826,0.0658842617658985,-0.1197578759019467,-0.1231655809374649,-0.1883149119437909,-0.1410293910904497,-0.2117723826131229,-0.3252526891082442
IFT22,-0.0417697151820334,-0.0455197289338457,0.1170639079367013,0.1114895088005655,0.0841144616865525,0.2383374030322158,0.107779587354991,0.1461458750760277,0.119622532565782,0.0989233501071734,0.1366514820092255,0.1287832360891234,-0.0830094991633944,-0.072061163522423,-0.1492463097406089,0.1898404575437571,0.071285307982869,0.2571018785056083,0.063426341455106,0.2015472995205353,-0.0144280238518789,-0.2158746539372088,0.2410172969478378,0.2698783272906954,0.0657090998458702,0.0641560229059974,0.0838316142470767,-0.0357096105758583,0.0738714405345274,-0.0125190158969223,-0.0146866304087243,0.0920674496289482,0.0977123589232594,0.1955843487373218,-0.1097558609455395,0.0465837078344902,0.1684377943174254
LRRC8B,-0.0650518069308945,-0.1029419248348955,-0.1623224307476946,-0.2045053609066577,-0.1391031868638278,-0.049831744971879,-0.0056761204973392,-0.0038855978789008,0.1034257004082355,0.0134139608508798,-0.0373353217560884,-0.0367573802838614,-0.0671377110527564,0.0936708578119934,-0.102268653970911,0.1416105292757218,0.2291212339537705,0.002921759613112,-0.0379276718058237,0.0979108540133877,0.0623047983231323,-0.0228340562219791,0.0173432484329869,0.0394265411599176,-0.1981640620694796,0.0356801828385646,0.0199947045772499,-0.0467128713400314,-0.1317790834327244,-0.1008529506909466,0.0875115017676064,-0.0678653581061349,0.0121218975778933,0.0719757225941185,0.0528910404873376,-0.0272001173186307,-0.0496173773262759
NFRKB,-0.1472124459190953,-0.3456083021033183,-0.31291717498394,-0.5748901481618459,-0.4470985354394941,0.1145243395347464,-0.5399898129262333,-0.1866356074937505,-0.1556256990759912,-0.894562449818653,-0.1423011474974518,-0.7720499538040752,-0.3218539667091326,-0.1765540649255834,-0.1953942857406574,-0.1854961153981194,-0.4362601467202549,-0.1025655084280041,-0.7284221620000542,-0.4428233817207573,-0.5652111432879817,-0.4446179628579778,-0.2428131206751265,-0.8202048956160938,-0.5544964876317904,-0.2328272231393368,-0.5521454286463792,-0.2298723673216423,-0.5148688330599195,-0.4485762942409653,-0.2766467749526538,-0.1529264539442492,0.0006686394891719,-0.661969575272205,-0.3478973797644782,-0.5564038523688708,-0.4440816522294571
MAK,0.1272457169111616,0.0599786009661503,-0.0050090092159693,0.0431060318722021,-0.0794364774721105,0.1134238462037356,0.0993292636323909,-0.0450805505627383,0.044332811783159,0.2676462443724615,0.1219818969545514,0.0386137761964533,0.1569918145547661,0.1732710753890239,0.0901645948512526,0.0638336161855332,0.2148862533121779,-0.084447363529524,-0.1019939724402743,0.043016354261807,-0.0022341298396755,0.0622737729012191,0.0589792764774277,0.0207492635519318,0.1945806836374617,0.2018179377924686,0.1149577811526345,-0.0408176174811074,0.1050048856779681,0.095853370651963,0.4562560202489845,0.0481177881284278,0.3597387246521148,-0.0325837819237653,-0.0768292255065374,0.3144618644643659,0.0538530596289226
CDC20,-2.345802183629204,-2.053836635194913,-2.4290380067687787,-2.162401896621737,-2.9444636149752985,-2.020940591120144,-2.303367717125643,-2.60895085784418,-1.9649752643649523,-2.7820212520792147,-2.0511481582113054,-2.249913949456685,-2.710455796642181,-2.4615614051793084,-2.681217280597516,-2.3588450355602943,-2.200767232529097,-2.2432406056767165,-2.3170925374947484,-2.4794591598331603,-2.249924783451369,-2.1804493116187738,-2.269711230237345,-2.1613832920063416,-3.2715331165288903,-2.534000282400942,-2.1653369468900974,-1.8550118926127737,-2.635145579180856,-2.22410750045072,-2.2759602866880284,-2.325938439776141,-2.51154090895576,-2.509421081235283,-2.7201612716387795,-2.142740602601754,-1.7726697556237965
GET4,-0.035085148708127,-0.9013837137128028,-0.3957306138156765,-0.196182600185568,0.0106853632279479,-0.0493392682256744,-0.0258405366077054,0.2071707328392806,-0.0403282103589352,-0.11314302316483,-0.4998018547965185,-0.4200943413438787,0.0430163198505947,-0.3898247069186044,-0.3361770230813941,-0.6504025363816562,-0.1905600762552183,0.1250923779516513,-0.1808084144400195,-0.7414534777005863,-0.6576132257451348,-0.7010076562463933,-0.380622895695574,-0.5621361794728988,-0.1166589468857193,-0.3500070802411034,-0.1492443129545906,-0.7496784670835531,-0.5946068610252303,-1.315851665807195,-0.4362897854397587,-0.64089619266871,-0.6337868269213647,0.0543964027921084,-0.5231784744169367,-0.8593662969215106,-0.3053566158868931
SMC4,-1.395724498951473,-1.3169368487229032,-1.2916813490054857,-1.8349331089665863,-1.5355753900828584,-1.4619247762996133,-1.990700984556725,-1.732103632411892,-1.2488478205096234,-1.0777299044158433,-1.5510468937306578,-1.874540172863936,-1.576806364234841,-1.2454925499340517,-1.4585808827282782,-1.6719135218632617,-1.5685312739190136,-1.0269199072073296,-1.4067026332248649,-1.7486539977590905,-1.6890491247996051,-1.5015634781109557,-1.5069498208337455,-1.4732067128332436,-2.321958722991708,-1.6048990394607123,-1.574060968474044,-1.8922021520947951,-2.1405535671753007,-1.5368131355744534,-1.8414762218318856,-1.0835959613057289,-1.415437085297483,-1.5437307702907133,-1.403096906644547,-1.5188364401663352,-1.2612906766571907
CWC22,-1.1520976370192495,-1.6422023243672426,-1.1330335913793923,-1.1479673864898583,-1.4053379689067251,-1.0206752456903023,-1.0608311628114853,-1.231708100114468,-1.1677647156514832,-1.286854877025364,-1.585488063432438,-0.9611486941484944,-0.7328156635582863,-1.326024582581643,-1.4965859117279068,-0.791178168323543,-1.5911991983680642,-1.4340556995493388,-1.33934655181293,-1.150922964394108,-1.096688425876302,-1.7883325015950793,-0.9782290962265224,-1.5708554855467782,-1.3214895839271104,-1.279790998186638,-1.6822002799734217,-1.8447067406633983,-1.3829611793142726,-1.9988995792576685,-1.5208518029825184,-1.4584509590701562,-1.505705590534438,-0.6322094470805569,-0.7757531958123538,-0.942888783162252,-1.4893074038275749
TAF2,-0.3151188228124691,-0.765538142744451,-0.7486849683600281,-0.653299453352499,-0.3262928209112281,-0.7418099822365134,-0.8678568494260619,-0.0951226915228763,-1.0206140862771915,-0.9798985339421102,-0.5714896558315833,-0.4047395542561089,-0.2985904147618154,-0.4410597269648189,-0.4843380294419816,-0.8182539690085175,-0.3379955792065446,-1.112835392807195,-0.8786369245683852,-0.5233341222864006,-0.5791185136985678,-0.3988873846207026,-0.3295097017561524,-1.0196359029202544,-0.9031837482586068,-0.607649747218135,-0.882527320669393,-0.9009376605479512,-0.5861644941939629,-0.9710162842305592,-0.4474096669176249,-0.5858430052654164,-1.0257962530661386,-1.0097560281404674,-1.1106731583806189,-0.7616147720594296,-0.8584848290042064
